State,Average_Life_Expectancy
Hawaii,81.32
Vermont,81.02
Minnesota,80.47
Massachusetts,80.34
New York,80.33
California,80.23
Wyoming,80.15
Connecticut,80.10
New Hampshire,79.96
South Dakota,79.79
Washington,79.68
New Jersey,79.59
Colorado,79.47
North Dakota,79.40
Utah,79.37
Oregon,79.09
Rhode Island,79.09
Idaho,79.09
Iowa,79.06
Nebraska,79.03
Wisconsin,79.03
Alaska,78.91
Montana,78.82
Maryland,78.70
New Mexico,78.55
Maine,78.40
Florida,78.38
Arizona,78.37
Virginia,78.33
Illinois,78.17
Pennsylvania,78.06
Kansas,78.05
Texas,77.86
Delaware,77.80
Nevada,77.55
North Carolina,77.40
Michigan,77.34
Missouri,76.96
Indiana,76.77
Georgia,76.62
Ohio,76.57
South Carolina,76.56
District of Columbia,76.42
Oklahoma,75.89
West Virginia,75.69
Arkansas,75.63
Kentucky,75.56
Tennessee,75.53
Louisiana,75.37
Mississippi,75.03
Alabama,74.81
